crs,adt,count,sum
15130,22010,2,24731
15130,22030,4,942937
15130,22040,3,2815654
15130,23010,3,1304852
15130,23030,1,84056
15130,23040,1,190775
15130,24010,6,238163
15130,24030,2,18688
15130,24040,1,93385
15130,25010,40,38293425
15130,31100,1,480341
15130,31110,2,578045
15130,31191,1,25024
15130,32110,1,18504
15130,32182,1,524944
15130,32210,1,523404
15130,32310,1,68558
15130,33110,1,1302
15130,33120,1,998816
15130,33130,1,37063
15130,33140,1,88607
15130,33210,1,69864
15130,41010,3,1477304
15130,41030,2,330866
15130,42010,34,15738562
15130,43010,10,4435922
15130,43030,14,649549
15130,43040,5,1085688
15130,43081,9,34901353
15130,43082,10,363537
15130,51010,27,149005064
15130,52010,1,2030943
15130,60010,2,1804397
15130,70000,8,81134919
15130,72000,1,144637
15130,72010,17,5269960
15130,73010,63,953913047
15130,74010,3,492337
15130,91010,208,11354798
15130,92005,15,7953222
15130,92010,3,908168
15130,92020,10,4252858
15130,92030,3,645238
15130,93010,1,223190
15130,99810,410,92199660
15140,11105,3,139600765
15140,11110,2,327272
15140,11120,12,11301397
15140,11130,1,74213
15140,11220,2,3293732
15140,11320,1,75580
15140,11330,1,
15140,11420,6,1441975
15140,11430,3,2834041
15140,12110,1,14391
15140,12191,3,3495366
15140,13010,28,39569638
15140,13020,1,173153
15140,13040,1,137239
15140,14005,1,56215
15140,14010,6,1466933
15140,14020,3,6123714
15140,14030,1,87352
15140,14050,3,147273
15140,14082,4,5548865
15140,15000,3,498318
15140,15100,48,55869511
15140,15105,36,25245651
15140,15110,415,600492089
15140,15120,141,197678519
15140,15130,336,583442328
15140,15140,2155,3619693515
15140,15150,415,601268958
15140,15200,1,3529882
15140,15205,14,127594303
15140,15210,49,42636956
15140,15220,28,263345631
15140,15230,2,4085141
15140,15240,14,46684154
15140,16010,122,180262438
15140,16020,43,291149185
15140,16030,8,44138987
15140,16050,5,79563525
15140,16081,1,6516
15140,21010,12,14245117
15140,21020,9,5678228
15140,21040,1,5677794
15140,22005,1,77934
15140,22010,18,32358920
15140,22020,1,126907
15140,22030,3,710645
15140,22040,24,58941910
15140,24005,1,1609600
15140,24010,7,26339437
15140,24030,4,753776
15140,24081,1,2147822
15140,25010,17,4908397
15140,25020,2,1770564
15140,31105,1,5509383
15140,31110,9,6895777
15140,31120,1,665608
15140,31130,127,258948428
15140,31140,2,8871805
15140,31182,3,855037
15140,31191,1,977507
15140,31210,3,654207
15140,31220,1,635193
15140,31320,2,21298832
15140,32105,1,99052
15140,32110,1,97918
15140,32120,2,708231
15140,32182,7,4743662
15140,32210,14,5366572
15140,32220,1,6615753
15140,32310,3,2731063
15140,33100,1,48398
15140,33110,7,4266829
15140,33120,70,109053308
15140,33130,1,
15140,33140,2,186261
15140,33210,4,806066
15140,41005,2,10706922
15140,41010,20,24546921
15140,41020,6,3926863
15140,41030,1,548955
15140,41050,6,1829551
15140,41082,1,959414
15140,42010,7,1577282
15140,43010,41,70589088
15140,43030,20,7437876
15140,43040,40,75483609
15140,43081,6,16457977
15140,43082,18,14609197
15140,51010,65,82104574
15140,52010,5,1915406
15140,53050,19,7248030
15140,72010,5,1649175
15140,73010,10,15454982
15140,74010,13,14982625
15140,91010,55,4712370
15140,92005,2,546674
15140,92010,2,10696196
15140,92030,5,10453121
15140,99810,252,867181568
15140,99820,1,17578
15150,11000,2,32334
15150,11105,65,33288820
15150,11110,8,2068206
15150,11120,120,102585414
15150,11130,7,1152420
15150,11182,1,44562
15150,11220,8,8867654
15150,11230,11,3798215
15150,11240,4,1371765
